target_volume,water_percent_error,ethanol_percent_error,dmso_percent_error
600,2.333333333,0.317838697,2.844971855
600,2.333333333,4.688120779,3.149246919
600,2.5,4.489471593,3.909934581
600,2.333333333,5.08541915,3.301384452
600,2.166666667,4.886769964,2.997109387
600,2.333333333,4.290822408,3.301384452
600,3,4.092173222,3.301384452
600,2.833333333,4.489471593,3.149246919
600,2.833333333,4.489471593,2.997109387
600,3.333333333,4.092173222,3.149246919
600,1.833333333,4.290822408,3.149246919
600,2.833333333,4.290822408,2.54069679
600,2.833333333,4.886769964,1.780009128
600,1.833333333,4.092173222,1.932146661
600,3.166666667,4.092173222,2.388559258
600,2.333333333,3.29757648,2.236421725
600,2.166666667,2.502979738,2.388559258
600,2.333333333,3.893524037,1.932146661
600,3.166666667,4.092173222,2.54069679
600,2.5,2.900278109,2.388559258
600,2.166666667,4.092173222,2.236421725
600,2.166666667,4.092173222,2.54069679
600,2.166666667,3.893524037,2.236421725
600,2.333333333,3.893524037,
