,mean_array,stdev_array
0,0.0,0.0
1,49.10268535720318,70.83455938161237
2,177.75288683602773,92.48663501921837
3,258.897538396802,84.08435184106324
4,292.0945284223973,83.14621818164312
5,305.08479532163744,80.68991064965071
6,314.88606224627875,82.08706396846154
7,324.9453035509737,84.13065398277813
8,328.44767944652637,85.03396258029555
9,330.5777162203755,88.42274543536632
10,331.74233896185115,90.12944913169704
11,332.3827476038339,89.97357700227806
12,333.8983870967742,90.24249945051369
13,334.16295579219104,90.62235556747527
14,334.93610842207164,90.79786767824964
15,336.3098499673842,92.85171430208459
16,336.2171369580179,93.81027034731191
17,337.6041086350975,96.13201604866879
18,338.0863810518983,96.65062847081363
19,339.1599860578599,97.04242184192682
20,339.78018900945045,97.96099735810394
21,322.0840371621622,93.53198586752525
22,264.54422310756974,55.6460162097339
23,260.5212323064113,53.871726858200724
24,260.03497085761865,50.41171482760827
25,258.6167400881057,53.66282630292508
26,295.94117647058823,91.06266141782959
27,295.625,76.27325465063097
28,314.0,98.55328507969686
29,331.44444444444446,109.726033689074
30,364.0,123.25785978995417
31,468.0,0.0
32,455.0,0.0
33,339.0,0.0
