Slide,X dim (mm),Y dim (mm),Z dim (mm),Large mask region length,Large mask region height,paint thk,Fiducial mask height,fid pnt thk
1,24.97,75.06,1.03,18.53,1.042,0.012,1.043,0.013
2,24.98,75.03,1.037,18.85,1.054,0.017,1.049,0.012
3,24.94,75.04,1.033,18.86,1.043,0.01,1.047,0.014
4,24.99,75.03,1.035,18.5,1.047,0.012,1.044,0.009
5,25.05,75.03,1.035,18.4,1.044,0.009,1.05,0.015
6,24.99,75.02,1.038,18.3,1.055,0.017,1.051,0.013
7,25.04,75.03,1.038,18.26,1.045,0.007,1.053,0.015
8,24.94,75.05,1.032,18.79,1.046,0.014,1.046,0.014
9,25.06,75.03,1.03,18.6,1.042,0.012,1.043,0.013
10,25.03,75.04,1.034,18.88,1.05,0.016,1.045,0.011
11,24.92,75.05,1.033,19.09,1.043,0.01,1.054,0.021
12,25.01,75.01,1.033,18.86,1.041,0.008,1.05,0.017
13,24.97,75.05,1.03,18.54,1.049,0.019,1.046,0.016
14,25.03,75.01,1.036,18.46,1.046,0.01,1.054,0.018
15,24.97,75.05,1.03,19.1,1.045,0.015,1.045,0.015
16,25.03,75.02,1.041,18.02,1.048,0.007,1.052,0.011
17,24.98,75.03,1.035,18.83,1.046,0.011,1.051,0.016
18,24.96,75.06,1.035,18.7,1.05,0.015,1.048,0.013
19,24.96,75.03,1.035,18.39,1.05,0.015,1.048,0.013
20,24.93,75.06,1.035,18.448,1.044,0.009,1.05,0.015
